epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0093,5.35179,9.83562,4.04679,0,0,0,0,5.30052,4.68444,3.24129,0.00394595,0.00394595,0.0842162
2,62.1507,4.2259,4.39787,2.72648,0.01954,0.13082,0.01646,0.00518,3.84242,4.19602,2.33307,0.00789562,0.00789562,0.0681659
3,94.8501,2.91357,2.91218,1.79401,0.11835,0.25707,0.06727,0.02084,2.91125,23.1945,1.89026,0.0117946,0.0117946,0.0520649
4,126.44,2.5773,2.40523,1.61249,0.1197,0.22356,0.06058,0.02066,2.9014,43.5328,2.38259,0.015643,0.015643,0.0359132
5,156.804,2.48846,2.29127,1.55405,0.26887,0.28469,0.17839,0.05465,2.65957,7.10189,1.76031,0.0194406,0.0194406,0.0197109
6,186.384,2.33945,1.95725,1.46653,0.70304,0.28804,0.38074,0.13016,2.47708,14.3496,1.67508,0.0193667,0.0193667,0.0193667
7,215.929,2.24548,1.75449,1.44141,0.56105,0.36788,0.393,0.12654,2.37525,5.4111,1.4937,0.01924,0.01924,0.01924
8,244.464,2.21164,1.60216,1.36308,0.67338,0.55136,0.55273,0.2176,2.12807,2.02031,1.38158,0.0191133,0.0191133,0.0191133
9,273.461,2.10678,1.51025,1.34843,0.64627,0.54562,0.52475,0.20999,2.23618,4.2469,1.40691,0.0189867,0.0189867,0.0189867
10,302.245,2.06831,1.4275,1.32938,0.61313,0.52103,0.56176,0.21508,2.03629,2.08567,1.31982,0.01886,0.01886,0.01886
11,330.871,2.06306,1.39341,1.3163,0.74298,0.62732,0.66714,0.25606,2.04145,1.53816,1.30976,0.0187333,0.0187333,0.0187333
12,359.486,1.98431,1.33788,1.2978,0.79165,0.69592,0.75016,0.32285,1.89764,1.39871,1.24822,0.0186067,0.0186067,0.0186067
13,388.096,1.98057,1.30725,1.29325,0.7064,0.56878,0.61094,0.25972,2.03864,1.69105,1.32757,0.01848,0.01848,0.01848
14,416.903,1.9278,1.27731,1.28259,0.71261,0.46507,0.49837,0.21298,2.00218,1.54153,1.31155,0.0183533,0.0183533,0.0183533
15,445.625,1.93597,1.26914,1.28366,0.7981,0.73154,0.75077,0.31382,1.81884,1.36537,1.21874,0.0182267,0.0182267,0.0182267
16,65.7176,1.91744,1.20757,1.24551,0.81046,0.68105,0.71982,0.32331,1.8123,1.34211,1.21913,0.0181,0.0181,0.0181
17,127.654,1.8872,1.20806,1.25684,0.8515,0.71534,0.78011,0.35163,1.87965,1.19522,1.24713,0.0179733,0.0179733,0.0179733
18,190.804,1.87911,1.17265,1.22644,0.83653,0.72715,0.79049,0.34544,1.82535,1.1496,1.22877,0.0178467,0.0178467,0.0178467
19,249.626,1.85521,1.14375,1.24495,0.82791,0.7545,0.79243,0.35751,1.89356,1.11491,1.26189,0.01772,0.01772,0.01772
20,39.374,1.82603,1.11296,1.20685,0.75945,0.71035,0.74816,0.34243,1.75408,1.42451,1.18238,0.0175933,0.0175933,0.0175933
21,68.3132,1.79761,1.10585,1.21592,0.86494,0.75727,0.81003,0.38085,1.82256,1.14283,1.21504,0.0174667,0.0174667,0.0174667
22,97.0974,1.79642,1.06861,1.18976,0.86676,0.76363,0.82345,0.37278,1.7577,1.06924,1.19093,0.01734,0.01734,0.01734
23,125.86,1.77555,1.0522,1.20652,0.86188,0.76659,0.80998,0.36208,1.80243,1.109,1.21563,0.0172133,0.0172133,0.0172133
24,154.694,1.82134,1.10424,1.2144,0.88194,0.76721,0.82039,0.39513,1.7119,1.00193,1.1736,0.0170867,0.0170867,0.0170867
25,183.572,1.80017,1.06469,1.19984,0.84164,0.77049,0.80621,0.38841,1.71936,1.07603,1.18129,0.01696,0.01696,0.01696
26,212.342,1.80765,1.08443,1.21306,0.87277,0.78014,0.82328,0.40465,1.68966,0.99166,1.16077,0.0168333,0.0168333,0.0168333
27,240.843,1.82599,1.06099,1.18665,0.86322,0.76209,0.80865,0.38366,1.72669,1.01381,1.17977,0.0167067,0.0167067,0.0167067
28,269.335,1.77829,1.04558,1.19188,0.87665,0.78331,0.83951,0.4273,1.68134,0.95884,1.15834,0.01658,0.01658,0.01658
29,297.986,1.76814,1.0112,1.19337,0.87305,0.7745,0.81379,0.40165,1.71977,0.95222,1.17629,0.0164533,0.0164533,0.0164533
30,326.577,1.79762,1.03285,1.19608,0.88575,0.79987,0.83634,0.38957,1.70537,1.08051,1.16787,0.0163267,0.0163267,0.0163267
31,355.199,1.73209,1.01239,1.17712,0.88612,0.81293,0.85434,0.42234,1.66306,0.97323,1.14252,0.0162,0.0162,0.0162
32,383.783,1.74447,1.0029,1.18102,0.87587,0.77773,0.82963,0.41673,1.66706,0.99019,1.15386,0.0160733,0.0160733,0.0160733
33,412.235,1.71831,1.00244,1.18205,0.87094,0.80512,0.84105,0.38634,1.71807,0.95841,1.15594,0.0159467,0.0159467,0.0159467
34,440.856,1.73805,1.00703,1.192,0.87448,0.79581,0.85093,0.42406,1.63233,1.12335,1.13241,0.01582,0.01582,0.01582
35,469.168,1.72617,0.99902,1.20228,0.89097,0.78787,0.85378,0.44502,1.62133,0.89194,1.14246,0.0156933,0.0156933,0.0156933
36,497.562,1.71635,0.98444,1.1715,0.8532,0.78156,0.81478,0.40842,1.74932,0.99018,1.16838,0.0155667,0.0155667,0.0155667
37,526.033,1.72624,0.97882,1.1732,0.89293,0.80856,0.85367,0.45194,1.61769,0.8723,1.13115,0.01544,0.01544,0.01544
38,554.372,1.71775,0.95091,1.16671,0.90584,0.81869,0.87251,0.44925,1.62823,0.85104,1.12945,0.0153133,0.0153133,0.0153133
39,582.874,1.71604,0.98078,1.16042,0.89401,0.80178,0.85724,0.43928,1.60513,0.88466,1.12995,0.0151867,0.0151867,0.0151867
40,611.17,1.6885,0.94355,1.17108,0.87934,0.82062,0.86392,0.44519,1.61854,0.85345,1.13066,0.01506,0.01506,0.01506
41,639.565,1.69384,0.95555,1.15832,0.9006,0.81611,0.86327,0.4457,1.61575,0.87186,1.12365,0.0149333,0.0149333,0.0149333
42,667.94,1.64513,0.91914,1.16215,0.8846,0.81396,0.86146,0.44617,1.64399,0.88846,1.12792,0.0148067,0.0148067,0.0148067
43,696.216,1.6823,0.9307,1.14561,0.91974,0.82229,0.8742,0.4564,1.58458,0.84464,1.12039,0.01468,0.01468,0.01468
44,724.61,1.6727,0.91422,1.15839,0.90803,0.82855,0.87089,0.46358,1.57508,0.84201,1.11357,0.0145533,0.0145533,0.0145533
45,753.124,1.67574,0.92708,1.15934,0.90856,0.83231,0.86932,0.44983,1.57428,0.85339,1.11504,0.0144267,0.0144267,0.0144267
46,781.397,1.66678,0.91321,1.14028,0.90496,0.8325,0.88771,0.45648,1.59276,0.80754,1.11202,0.0143,0.0143,0.0143
47,809.796,1.66731,0.89683,1.14168,0.90115,0.83328,0.86443,0.45071,1.63347,0.84396,1.1241,0.0141733,0.0141733,0.0141733
48,838.116,1.68975,0.93156,1.15402,0.89975,0.82826,0.86125,0.44723,1.56811,0.8273,1.11552,0.0140467,0.0140467,0.0140467
49,866.293,1.64024,0.90675,1.12761,0.91313,0.84976,0.88896,0.47271,1.55601,0.80315,1.1046,0.01392,0.01392,0.01392
50,894.704,1.64299,0.88938,1.14438,0.9123,0.84259,0.89119,0.48022,1.58046,0.79102,1.10532,0.0137933,0.0137933,0.0137933
51,923.058,1.64029,0.88265,1.15179,0.92259,0.84154,0.88748,0.4654,1.59694,0.78693,1.11934,0.0136667,0.0136667,0.0136667
52,951.323,1.64824,0.88916,1.13295,0.91509,0.83067,0.87687,0.42611,1.67523,0.85709,1.1382,0.01354,0.01354,0.01354
53,979.74,1.64318,0.8874,1.14725,0.91038,0.85001,0.88778,0.46486,1.58102,0.8246,1.10672,0.0134133,0.0134133,0.0134133
54,1008.02,1.64644,0.88401,1.13177,0.91833,0.84737,0.89447,0.47485,1.56016,0.84741,1.10458,0.0132867,0.0132867,0.0132867
