epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6224,5.28466,8.54265,3.82801,0,0,0,0,5.07696,4.56909,3.04258,0.00394595,0.00394595,0.0842162
2,67.5895,4.31784,4.50828,2.79566,0.01418,0.00119,0.00714,0.00179,4.69657,4.82602,2.79343,0.00789562,0.00789562,0.0681659
3,119.123,3.11326,3.08062,1.95093,0.00843,0.12781,0.00607,0.00237,3.16114,inf,2.44748,0.0117946,0.0117946,0.0520649
4,177.688,2.64357,2.46163,1.68427,0.09292,0.18278,0.03641,0.01209,2.94457,73.8346,2.00067,0.015643,0.015643,0.0359132
5,254.45,2.48479,2.19848,1.55708,0.26138,0.34489,0.18896,0.05702,2.76024,33.075,2.2628,0.0194406,0.0194406,0.0197109
6,32.011,2.36767,1.91535,1.46942,0.41913,0.37544,0.25587,0.08917,2.43509,28.6235,1.58152,0.0193667,0.0193667,0.0193667
7,60.2052,2.23362,1.7861,1.44381,0.47621,0.48587,0.44738,0.1584,2.36171,3.37132,1.49474,0.01924,0.01924,0.01924
8,88.5506,2.1694,1.62211,1.36769,0.4846,0.52717,0.45269,0.18279,2.03858,2.14038,1.34351,0.0191133,0.0191133,0.0191133
9,116.759,2.09908,1.51166,1.3654,0.74815,0.62598,0.64506,0.25331,2.07856,1.66438,1.36417,0.0189867,0.0189867,0.0189867
10,144.863,2.06437,1.47924,1.33508,0.73783,0.59412,0.65287,0.28248,1.94788,1.56395,1.28731,0.01886,0.01886,0.01886
11,173.189,2.02099,1.40346,1.30607,0.68739,0.56142,0.60406,0.24355,1.97907,1.59115,1.30105,0.0187333,0.0187333,0.0187333
12,201.271,2.0117,1.39745,1.31168,0.81052,0.68452,0.73557,0.32297,1.92693,1.28292,1.25175,0.0186067,0.0186067,0.0186067
13,229.65,2.02511,1.32049,1.27241,0.79998,0.68126,0.71434,0.31386,1.91016,1.3066,1.27165,0.01848,0.01848,0.01848
14,257.714,1.95281,1.30481,1.27033,0.79392,0.65596,0.71001,0.30492,1.97022,1.44758,1.28685,0.0183533,0.0183533,0.0183533
15,285.821,1.94057,1.25593,1.26805,0.78871,0.71989,0.75834,0.35014,1.81979,1.17111,1.22796,0.0182267,0.0182267,0.0182267
16,314.167,1.94741,1.24181,1.26535,0.79428,0.72257,0.76115,0.30886,1.86,1.41134,1.2284,0.0181,0.0181,0.0181
17,342.285,1.88086,1.20248,1.24324,0.79773,0.64099,0.71686,0.30226,1.86766,1.23071,1.26516,0.0179733,0.0179733,0.0179733
18,370.561,1.8672,1.17625,1.24281,0.76365,0.63163,0.67377,0.29228,1.95195,1.31025,1.27188,0.0178467,0.0178467,0.0178467
19,398.615,1.83883,1.1592,1.23804,0.85916,0.7523,0.80376,0.37514,1.77034,1.10397,1.21732,0.01772,0.01772,0.01772
20,426.762,1.85131,1.16245,1.23982,0.83223,0.73218,0.78489,0.35739,1.75819,1.10166,1.19338,0.0175933,0.0175933,0.0175933
21,454.886,1.85057,1.15782,1.25735,0.82565,0.71333,0.75885,0.32369,1.90198,1.22925,1.24661,0.0174667,0.0174667,0.0174667
22,483.016,1.82226,1.13484,1.21523,0.85824,0.76388,0.80259,0.37982,1.74225,1.02002,1.17823,0.01734,0.01734,0.01734
23,511.221,1.82471,1.10577,1.21293,0.84088,0.74892,0.78919,0.37379,1.79921,1.19993,1.19763,0.0172133,0.0172133,0.0172133
24,539.388,1.81228,1.07592,1.20834,0.87918,0.78701,0.84205,0.4085,1.73786,0.99595,1.17287,0.0170867,0.0170867,0.0170867
25,567.453,1.80546,1.09283,1.19888,0.85534,0.77129,0.82011,0.40738,1.68148,1.00099,1.16054,0.01696,0.01696,0.01696
26,595.606,1.79074,1.07167,1.2116,0.85264,0.77188,0.82795,0.39995,1.70009,0.97262,1.17576,0.0168333,0.0168333,0.0168333
27,623.741,1.79394,1.0648,1.20279,0.87677,0.78982,0.8287,0.41231,1.68333,1.06402,1.16273,0.0167067,0.0167067,0.0167067
28,651.805,1.72739,1.02658,1.19777,0.80983,0.77648,0.81112,0.38162,1.77165,1.16806,1.18418,0.01658,0.01658,0.01658
29,680.151,1.75849,1.02786,1.17576,0.87104,0.799,0.8459,0.40728,1.71179,1.06855,1.17017,0.0164533,0.0164533,0.0164533
30,708.24,1.76737,1.0237,1.19782,0.87951,0.76959,0.81954,0.38966,1.75469,0.99145,1.18261,0.0163267,0.0163267,0.0163267
31,736.35,1.74715,1.01402,1.18607,0.87098,0.80666,0.84219,0.4311,1.63806,0.9982,1.1444,0.0162,0.0162,0.0162
32,764.335,1.7385,0.99281,1.17048,0.87238,0.7916,0.84525,0.42099,1.63878,0.90667,1.13488,0.0160733,0.0160733,0.0160733
33,792.477,1.76606,0.98474,1.18216,0.90036,0.81318,0.85184,0.44042,1.62247,0.86868,1.12894,0.0159467,0.0159467,0.0159467
34,820.612,1.75153,1.00305,1.17755,0.88286,0.81364,0.84694,0.40967,1.6721,0.9004,1.1467,0.01582,0.01582,0.01582
35,848.604,1.70938,0.98226,1.15407,0.87994,0.78403,0.83937,0.43741,1.62163,0.96228,1.14229,0.0156933,0.0156933,0.0156933
36,876.61,1.71635,0.97523,1.17285,0.88484,0.78884,0.85544,0.40247,1.7788,0.98556,1.17209,0.0155667,0.0155667,0.0155667
37,904.797,1.70246,0.95903,1.18114,0.87055,0.79642,0.84207,0.40332,1.74942,1.00552,1.16709,0.01544,0.01544,0.01544
38,932.843,1.71693,0.9678,1.16117,0.86116,0.79743,0.83709,0.40657,1.70305,0.92913,1.1525,0.0153133,0.0153133,0.0153133
39,960.975,1.71534,0.96055,1.17711,0.89846,0.82,0.87825,0.44035,1.64395,0.89433,1.14217,0.0151867,0.0151867,0.0151867
40,989.041,1.71246,0.95355,1.15668,0.90405,0.82222,0.87727,0.45924,1.59808,0.89389,1.11702,0.01506,0.01506,0.01506
41,1017.18,1.69938,0.95055,1.18803,0.8883,0.81288,0.86558,0.45127,1.59916,0.86028,1.12107,0.0149333,0.0149333,0.0149333
42,1045.23,1.6914,0.94622,1.16881,0.88985,0.8153,0.86699,0.4441,1.60636,0.90103,1.12286,0.0148067,0.0148067,0.0148067
43,1073.24,1.68107,0.93332,1.15102,0.89132,0.81169,0.86396,0.43155,1.65998,0.94089,1.13698,0.01468,0.01468,0.01468
44,1101.26,1.67955,0.94019,1.15972,0.87884,0.82181,0.86042,0.44004,1.64437,0.89309,1.12992,0.0145533,0.0145533,0.0145533
45,1129.46,1.682,0.9287,1.15902,0.89347,0.82143,0.86583,0.44316,1.65101,0.84408,1.13557,0.0144267,0.0144267,0.0144267
46,1157.47,1.68682,0.92181,1.15493,0.89719,0.82871,0.87488,0.46668,1.58013,0.80173,1.11247,0.0143,0.0143,0.0143
47,1185.65,1.652,0.91702,1.15077,0.8981,0.82739,0.87498,0.44512,1.65476,0.81446,1.13896,0.0141733,0.0141733,0.0141733
48,1213.54,1.65448,0.91613,1.151,0.89528,0.84051,0.87698,0.45856,1.65612,0.84017,1.1236,0.0140467,0.0140467,0.0140467
49,1241.62,1.64206,0.89342,1.15735,0.89793,0.82857,0.87262,0.43972,1.67386,0.82964,1.13343,0.01392,0.01392,0.01392
50,1269.77,1.63795,0.89291,1.13066,0.90827,0.8421,0.89407,0.474,1.58103,0.78164,1.11018,0.0137933,0.0137933,0.0137933
51,1297.67,1.62427,0.89257,1.14471,0.89892,0.83319,0.88128,0.44517,1.67744,0.83497,1.13573,0.0136667,0.0136667,0.0136667
52,1325.79,1.63148,0.88507,1.13605,0.89544,0.84547,0.8818,0.47008,1.57147,0.81804,1.10409,0.01354,0.01354,0.01354
53,1353.84,1.63644,0.90094,1.14631,0.8919,0.82094,0.86305,0.44668,1.66469,0.85568,1.13101,0.0134133,0.0134133,0.0134133
54,1381.77,1.61979,0.87468,1.13619,0.90859,0.84456,0.88723,0.4761,1.58491,0.80619,1.10456,0.0132867,0.0132867,0.0132867
55,1409.72,1.60008,0.87049,1.14138,0.90295,0.8357,0.88431,0.46933,1.60317,0.8459,1.11307,0.01316,0.01316,0.01316
56,1437.81,1.63443,0.88877,1.13529,0.90251,0.85208,0.88844,0.47563,1.57049,0.78433,1.10874,0.0130333,0.0130333,0.0130333
57,1465.81,1.61905,0.87721,1.11813,0.85527,0.82787,0.86983,0.45392,1.61327,0.87015,1.11189,0.0129067,0.0129067,0.0129067
58,1493.78,1.63581,0.89113,1.15242,0.90409,0.84857,0.89242,0.48195,1.56647,0.76087,1.11085,0.01278,0.01278,0.01278
59,1521.9,1.63659,0.87049,1.12969,0.90929,0.84988,0.89266,0.4801,1.59145,0.79043,1.10943,0.0126533,0.0126533,0.0126533
60,1550.05,1.62066,0.86124,1.11885,0.90349,0.84426,0.88105,0.46956,1.55266,0.79685,1.10198,0.0125267,0.0125267,0.0125267
61,1578.09,1.61681,0.86755,1.13319,0.88879,0.85495,0.89271,0.46355,1.62567,0.80661,1.11208,0.0124,0.0124,0.0124
62,1606.06,1.61373,0.8514,1.11639,0.90993,0.86085,0.89716,0.48139,1.5638,0.76053,1.09472,0.0122733,0.0122733,0.0122733
63,1633.94,1.57979,0.83463,1.13767,0.92019,0.85965,0.89578,0.48472,1.54928,0.76561,1.09206,0.0121467,0.0121467,0.0121467
64,1661.99,1.59499,0.83948,1.11384,0.89575,0.84759,0.88825,0.48525,1.57328,0.7708,1.09847,0.01202,0.01202,0.01202
65,1690.02,1.58947,0.85211,1.1319,0.91035,0.84119,0.88783,0.46896,1.61948,0.78936,1.11558,0.0118933,0.0118933,0.0118933
66,30.412,1.59546,0.82665,1.11343,0.90925,0.856,0.8955,0.49236,1.54241,0.77028,1.0874,0.0117667,0.0117667,0.0117667
67,58.3501,1.58892,0.845,1.12886,0.91051,0.84143,0.88761,0.47043,1.5726,0.78922,1.10109,0.01164,0.01164,0.01164
68,86.3899,1.5813,0.82601,1.10307,0.9014,0.86548,0.90059,0.47621,1.57631,0.74629,1.09763,0.0115133,0.0115133,0.0115133
69,114.409,1.58565,0.82584,1.12604,0.90253,0.87302,0.90505,0.49227,1.55206,0.74254,1.09442,0.0113867,0.0113867,0.0113867
70,142.604,1.596,0.84658,1.11771,0.92088,0.86408,0.90808,0.48991,1.55499,0.75543,1.08988,0.01126,0.01126,0.01126
71,170.61,1.56711,0.82203,1.10391,0.91491,0.87272,0.90926,0.5028,1.49967,0.71421,1.07875,0.0111333,0.0111333,0.0111333
72,198.702,1.60054,0.86101,1.12764,0.91256,0.86834,0.90462,0.50207,1.51351,0.73588,1.08507,0.0110067,0.0110067,0.0110067
73,226.948,1.62636,0.83946,1.10723,0.92513,0.85712,0.90351,0.50052,1.51055,0.73373,1.0841,0.01088,0.01088,0.01088
74,255.047,1.58073,0.82564,1.10691,0.91514,0.86301,0.90716,0.49605,1.53539,0.7338,1.08225,0.0107533,0.0107533,0.0107533
75,283.309,1.57392,0.80874,1.11135,0.91371,0.86937,0.90532,0.50822,1.485,0.72186,1.07516,0.0106267,0.0106267,0.0106267
76,311.637,1.59825,0.8298,1.11348,0.91741,0.87103,0.90836,0.48654,1.56294,0.75431,1.09109,0.0105,0.0105,0.0105
77,339.925,1.55546,0.81005,1.10865,0.91911,0.87552,0.90629,0.49036,1.56575,0.74982,1.09279,0.0103733,0.0103733,0.0103733
78,368.376,1.58401,0.82211,1.1131,0.92062,0.86907,0.90645,0.50172,1.52693,0.72951,1.08742,0.0102467,0.0102467,0.0102467
