epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.1878,5.40653,7.08035,4.15412,0,0,0,0,5.40386,4.80154,3.80994,0.00394595,0.00394595,0.0842162
2,95.4581,4.37805,5.04443,3.39578,0.01628,0.11804,0.01097,0.00383,3.98529,4.56334,3.08057,0.00789562,0.00789562,0.0681659
3,164.979,3.17558,3.53438,2.45914,0.0154,0.29963,0.0099,0.00318,3.07296,inf,2.82793,0.0117946,0.0117946,0.0520649
4,249.63,2.80072,3.09404,2.18654,0.06036,0.14188,0.01178,0.00338,3.51241,inf,3.55387,0.015643,0.015643,0.0359132
5,297.171,2.67964,2.87252,2.07242,0.05961,0.34,0.03768,0.01305,2.85839,17.4687,2.29855,0.0194406,0.0194406,0.0197109
6,344.343,2.46201,2.5433,1.8883,0.39797,0.11398,0.09355,0.02892,2.92925,3.81104,2.26028,0.0193667,0.0193667,0.0193667
7,394.801,2.36876,2.28556,1.85831,0.51036,0.37752,0.35148,0.1375,2.3043,6.71439,1.93301,0.01924,0.01924,0.01924
8,444.771,2.31887,1.99005,1.77819,0.11403,0.37259,0.03328,0.01419,2.55792,inf,2.00134,0.0191133,0.0191133,0.0191133
9,493.009,2.20676,1.89547,1.76509,0.20863,0.4129,0.21253,0.07496,2.53654,11.2079,2.14697,0.0189867,0.0189867,0.0189867
10,543.843,2.16887,1.76411,1.73636,0.66466,0.57241,0.60549,0.25276,1.92714,2.20002,1.69314,0.01886,0.01886,0.01886
11,48.6693,2.12285,1.67598,1.69568,0.60263,0.55792,0.53968,0.2056,2.12649,1.95085,1.7945,0.0187333,0.0187333,0.0187333
12,94.3723,2.09924,1.65276,1.69259,0.73872,0.63747,0.69856,0.31039,1.95276,1.50484,1.6765,0.0186067,0.0186067,0.0186067
13,141.001,2.07797,1.56295,1.63972,0.66826,0.68635,0.71259,0.31148,1.93655,1.50322,1.65557,0.01848,0.01848,0.01848
14,187.438,2.05144,1.48585,1.66653,0.7447,0.66322,0.67696,0.32205,1.89385,1.5529,1.62705,0.0183533,0.0183533,0.0183533
15,234.142,2.05511,1.52962,1.65104,0.7143,0.60989,0.67289,0.30029,1.97692,1.50429,1.68032,0.0182267,0.0182267,0.0182267
16,280.72,2.02417,1.45353,1.61969,0.79416,0.66813,0.73974,0.33934,1.91063,1.36424,1.64061,0.0181,0.0181,0.0181
17,326.916,2.02533,1.4494,1.62908,0.7429,0.71385,0.70369,0.32788,1.86724,1.58863,1.60738,0.0179733,0.0179733,0.0179733
18,373.693,2.02917,1.39641,1.58797,0.7525,0.65784,0.69942,0.33109,1.83983,1.5159,1.58618,0.0178467,0.0178467,0.0178467
19,420.051,1.9724,1.38083,1.59568,0.77769,0.70915,0.74274,0.30332,1.94875,1.57512,1.65934,0.01772,0.01772,0.01772
20,466.644,1.97672,1.32445,1.59406,0.80739,0.71113,0.78005,0.38341,1.79385,1.25027,1.5753,0.0175933,0.0175933,0.0175933
21,513.224,1.99724,1.34086,1.58942,0.75027,0.65765,0.72159,0.31114,1.98404,1.4966,1.66132,0.0174667,0.0174667,0.0174667
22,559.638,1.9432,1.30733,1.57425,0.7779,0.77081,0.7784,0.3802,1.7887,1.31701,1.55706,0.01734,0.01734,0.01734
23,606.152,1.94319,1.28693,1.58912,0.83,0.73548,0.79538,0.39037,1.83873,1.1259,1.59328,0.0172133,0.0172133,0.0172133
24,652.656,1.92908,1.31162,1.59499,0.76124,0.71736,0.73634,0.33455,1.8327,1.64144,1.58781,0.0170867,0.0170867,0.0170867
25,698.934,1.93117,1.29264,1.58057,0.8194,0.72296,0.79414,0.38474,1.80562,1.16003,1.56878,0.01696,0.01696,0.01696
26,745.108,1.93036,1.27507,1.60311,0.82374,0.75867,0.82373,0.39928,1.79782,1.10924,1.56945,0.0168333,0.0168333,0.0168333
27,791.482,1.90577,1.25248,1.55573,0.79152,0.76054,0.78669,0.3895,1.73349,1.15194,1.52869,0.0167067,0.0167067,0.0167067
28,838.123,1.90683,1.22687,1.54312,0.85995,0.74989,0.81743,0.41855,1.67715,1.17283,1.50709,0.01658,0.01658,0.01658
29,884.394,1.89962,1.19905,1.55175,0.88004,0.78942,0.84889,0.43469,1.6705,1.01301,1.50291,0.0164533,0.0164533,0.0164533
30,930.587,1.90242,1.2248,1.53168,0.88289,0.77811,0.85655,0.43456,1.68562,1.01492,1.49943,0.0163267,0.0163267,0.0163267
31,976.825,1.87697,1.18032,1.54966,0.82745,0.75301,0.81848,0.38801,1.76061,1.17483,1.5535,0.0162,0.0162,0.0162
32,1023.36,1.89663,1.20224,1.5413,0.85916,0.8029,0.84749,0.43012,1.68847,1.03767,1.5121,0.0160733,0.0160733,0.0160733
33,1069.48,1.83082,1.15606,1.54768,0.85601,0.76481,0.83689,0.42709,1.67979,1.08887,1.50086,0.0159467,0.0159467,0.0159467
