epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.3798,4.52312,6.78298,4.09056,0,0,0,0,4.35606,4.74876,3.55718,0.00394595,0.00394595,0.0842162
2,81.9815,3.84602,4.89458,3.19688,0.07991,0.0441,0.04365,0.01758,3.81637,5.07955,3.10621,0.0079082,0.0079082,0.0681785
3,126.293,2.92061,3.56487,2.45143,0.11394,0.17636,0.05389,0.01804,2.8587,15.1787,2.52891,0.0118325,0.0118325,0.0521027
4,177.878,2.55376,3.0334,2.15616,0.0356,0.26075,0.02012,0.00694,2.60828,inf,2.58707,0.0157187,0.0157187,0.035989
5,231.359,2.41439,2.69067,2.01773,0.05819,0.0284,0.00896,0.00384,2.83262,inf,2.58923,0.019567,0.019567,0.0198372
6,274.797,2.25158,2.36839,1.85216,0.17502,0.24324,0.08766,0.03208,2.29826,16.9885,2.05077,0.019525,0.019525,0.019525
7,316.852,2.14485,2.11803,1.80273,0.59102,0.3351,0.36225,0.14325,2.19636,4.88888,1.94743,0.01943,0.01943,0.01943
8,358.947,2.09399,1.86197,1.70859,0.43761,0.60964,0.46168,0.20493,1.83656,2.24823,1.62761,0.019335,0.019335,0.019335
9,400.736,2.01114,1.82214,1.69671,0.58813,0.57659,0.51296,0.20832,1.96508,2.06754,1.71834,0.01924,0.01924,0.01924
10,442.72,1.9839,1.70688,1.65082,0.61504,0.62957,0.62889,0.26991,1.78828,1.88633,1.5887,0.019145,0.019145,0.019145
11,484.687,1.98501,1.60819,1.64062,0.54084,0.62963,0.56077,0.23748,1.86577,1.88349,1.64233,0.01905,0.01905,0.01905
12,526.575,1.93523,1.59282,1.63232,0.75062,0.61543,0.6715,0.30363,1.82623,1.53852,1.62301,0.018955,0.018955,0.018955
13,568.847,1.9116,1.50892,1.62953,0.71175,0.71866,0.71451,0.32096,1.79859,1.31419,1.61712,0.01886,0.01886,0.01886
14,612.541,1.88022,1.47929,1.60813,0.52693,0.62147,0.50644,0.22812,1.77266,2.17717,1.58955,0.018765,0.018765,0.018765
