epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.9558,5.10796,6.67374,3.99668,0,0,0,0,4.94771,7.33243,3.38978,0.00331066,0.00331066,0.0702041
2,196.114,4.68513,5.27467,3.21728,0,0,0,0,4.73842,6.67853,3.18239,0.00642474,0.00642474,0.0399848
3,299.383,4.59544,5.18556,2.96578,0.0001,0.0006,1e-05,0,5.04254,697.686,32.4971,0.00931882,0.00931882,0.00954558
4,392.757,4.40274,5.25706,2.67728,0.00016,0.01314,0.00019,6e-05,4.67021,6.35469,2.82372,0.00901,0.00901,0.00901
5,489.816,4.2237,5.15399,2.46389,0,0,0,0,3.98367,7.81076,2.35338,0.00868,0.00868,0.00868
6,594.515,3.92447,4.69874,2.30268,0.13768,0.23603,0.08052,0.02197,3.40682,5.20452,2.13768,0.00835,0.00835,0.00835
7,698.174,3.27763,3.55464,2.02323,0.31754,0.39146,0.2067,0.07342,2.79148,3.65902,1.87029,0.00802,0.00802,0.00802
8,795.197,2.87736,2.86975,1.81046,0.23964,0.37101,0.20982,0.07963,2.51502,3.56988,1.63453,0.00769,0.00769,0.00769
9,895.245,2.60843,2.49787,1.64689,0.49817,0.47412,0.43926,0.16652,2.35707,2.5558,1.4932,0.00736,0.00736,0.00736
10,1016.54,2.4457,2.26346,1.56224,0.50596,0.44239,0.42025,0.17686,2.14781,2.36693,1.4288,0.00703,0.00703,0.00703
11,1113.39,2.34545,2.09727,1.48747,0.60614,0.53498,0.547,0.21797,2.1388,2.32562,1.3889,0.0067,0.0067,0.0067
12,1208.3,2.29419,2.03247,1.47195,0.60256,0.55876,0.55499,0.24239,2.0635,1.9659,1.37108,0.00637,0.00637,0.00637
13,1312.82,2.22725,1.87525,1.42804,0.6614,0.59864,0.62722,0.2686,2.02038,1.80807,1.33475,0.00604,0.00604,0.00604
14,1416.87,2.20548,1.86919,1.42256,0.6398,0.60044,0.61159,0.27172,1.94022,1.99261,1.34571,0.00571,0.00571,0.00571
15,1515.24,2.15292,1.79543,1.40445,0.7124,0.6284,0.67485,0.2962,1.92638,1.67313,1.30758,0.00538,0.00538,0.00538
16,1614.72,2.11718,1.73005,1.38133,0.70051,0.63559,0.66434,0.29359,1.94591,1.75998,1.33665,0.00505,0.00505,0.00505
17,1717.96,2.09621,1.7209,1.37745,0.71253,0.63205,0.68454,0.31816,1.89049,1.79602,1.30467,0.00472,0.00472,0.00472
18,1820.79,2.0696,1.64743,1.3604,0.77272,0.66928,0.72986,0.34135,1.84678,1.53017,1.25776,0.00439,0.00439,0.00439
19,1915.78,2.05905,1.59581,1.3419,0.77195,0.6574,0.72767,0.3381,1.93315,1.58448,1.30174,0.00406,0.00406,0.00406
20,2012.36,2.0236,1.56443,1.3268,0.77372,0.68836,0.74584,0.344,1.85973,1.46716,1.2783,0.00373,0.00373,0.00373
21,2118.27,1.89753,1.37947,1.32781,0.75839,0.66701,0.72245,0.34416,1.90397,1.41199,1.27922,0.0034,0.0034,0.0034
22,2221.32,1.88522,1.36273,1.32873,0.78378,0.68895,0.75561,0.36266,1.81775,1.40501,1.24693,0.00307,0.00307,0.00307
23,2316.12,1.87261,1.30958,1.31602,0.81933,0.70976,0.78129,0.3826,1.75831,1.35703,1.23281,0.00274,0.00274,0.00274
24,2409.92,1.82989,1.27829,1.30216,0.75741,0.69261,0.7507,0.36417,1.77934,1.42605,1.22998,0.00241,0.00241,0.00241
25,2471.61,1.81676,1.26728,1.29451,0.82299,0.71966,0.78271,0.38649,1.74342,1.27103,1.2225,0.00208,0.00208,0.00208
26,2525.17,1.8264,1.23563,1.28058,0.82307,0.73397,0.79379,0.39273,1.74308,1.2186,1.21576,0.00175,0.00175,0.00175
27,2578.62,1.79191,1.21237,1.27944,0.81233,0.73524,0.79141,0.39754,1.75286,1.26091,1.22057,0.00142,0.00142,0.00142
28,2632.06,1.76351,1.18507,1.25908,0.84098,0.73636,0.8027,0.41552,1.70541,1.19131,1.19487,0.00109,0.00109,0.00109
29,2685.68,1.76048,1.16868,1.25616,0.83962,0.74531,0.8012,0.40911,1.71552,1.17006,1.18679,0.00076,0.00076,0.00076
30,2739.15,1.74361,1.14438,1.25099,0.83897,0.76332,0.81397,0.42166,1.68508,1.14927,1.18125,0.00043,0.00043,0.00043
