epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.3663,4.9766,8.24534,3.74054,0.00974,0.08235,0.00609,0.00194,4.73096,7.62742,2.83239,0.00331066,0.00331066,0.0702041
2,172.278,3.33878,3.2489,2.27843,0.18524,0.18957,0.09882,0.02937,3.24411,3.99297,2.0025,0.00642474,0.00642474,0.0399848
3,258.363,2.64182,2.35012,1.68249,0.32926,0.31147,0.18884,0.05623,2.8346,3.28984,1.67518,0.00931882,0.00931882,0.00954558
4,334.318,2.41594,2.18268,1.55674,0.3986,0.3323,0.25842,0.09277,2.55307,3.3158,1.54688,0.00901,0.00901,0.00901
5,415.156,2.26687,1.79902,1.43714,0.59416,0.55299,0.54504,0.21837,2.10396,2.59881,1.3346,0.00868,0.00868,0.00868
6,483.903,2.18156,1.68487,1.37559,0.58796,0.42399,0.46274,0.18412,2.14602,9.05439,1.32127,0.00835,0.00835,0.00835
7,571.714,2.08378,1.53033,1.3335,0.75376,0.6402,0.68109,0.28172,1.97152,1.49415,1.23688,0.00802,0.00802,0.00802
8,658.495,2.04582,1.45582,1.32849,0.79055,0.67231,0.72349,0.31155,1.96928,1.4353,1.23771,0.00769,0.00769,0.00769
9,735.975,1.99401,1.38841,1.30264,0.74135,0.64538,0.70158,0.29446,1.94442,1.51257,1.22519,0.00736,0.00736,0.00736
10,811.112,1.96997,1.34023,1.29232,0.7728,0.67522,0.72901,0.31828,1.85288,1.39929,1.17738,0.00703,0.00703,0.00703
11,891.63,1.93539,1.29172,1.25529,0.78828,0.68627,0.7366,0.32798,1.8501,1.45466,1.1753,0.0067,0.0067,0.0067
12,975.411,1.90491,1.2662,1.26669,0.81313,0.68299,0.72181,0.31813,1.85188,1.41648,1.18898,0.00637,0.00637,0.00637
13,1052.46,1.87619,1.20356,1.24228,0.83286,0.72542,0.78638,0.34897,1.87165,1.2001,1.19793,0.00604,0.00604,0.00604
14,1126.52,1.87754,1.19507,1.23968,0.83986,0.74022,0.7892,0.35996,1.76664,1.22216,1.14433,0.00571,0.00571,0.00571
15,1203.87,1.84709,1.17522,1.22946,0.83971,0.7449,0.80613,0.36994,1.77579,1.07688,1.14508,0.00538,0.00538,0.00538
16,1291.26,1.83845,1.15308,1.22948,0.86635,0.75562,0.79097,0.38379,1.78454,1.0669,1.15377,0.00505,0.00505,0.00505
17,1378.25,1.80502,1.13381,1.22085,0.86054,0.78862,0.82622,0.3923,1.69282,1.05887,1.12048,0.00472,0.00472,0.00472
18,1454.88,1.78955,1.0757,1.19929,0.85947,0.7758,0.83458,0.41107,1.68407,0.98998,1.11888,0.00439,0.00439,0.00439
19,1516.83,1.77976,1.08568,1.19121,0.79869,0.75524,0.79008,0.36571,1.73387,1.17892,1.12337,0.00406,0.00406,0.00406
20,1601.14,1.75477,1.05226,1.17615,0.90189,0.79658,0.86302,0.42951,1.61549,0.949,1.09503,0.00373,0.00373,0.00373
21,1690.11,1.66394,0.91746,1.20497,0.8625,0.75788,0.80429,0.38711,1.72565,1.0115,1.13175,0.0034,0.0034,0.0034
22,1773.4,1.64501,0.90354,1.19606,0.8772,0.79548,0.84358,0.42363,1.69414,0.93954,1.11784,0.00307,0.00307,0.00307
23,1850.19,1.62524,0.87881,1.19005,0.89954,0.82326,0.87321,0.44988,1.61334,0.87552,1.09187,0.00274,0.00274,0.00274
24,1926.6,1.60958,0.85089,1.18294,0.88736,0.8262,0.87221,0.44562,1.64514,0.87731,1.09545,0.00241,0.00241,0.00241
25,2005.12,1.58583,0.83935,1.17014,0.91011,0.82139,0.86552,0.45124,1.62233,0.84032,1.0843,0.00208,0.00208,0.00208
26,2091.8,1.58489,0.81692,1.15172,0.8937,0.82688,0.87314,0.45164,1.58236,0.82797,1.07469,0.00175,0.00175,0.00175
27,2175.09,1.56394,0.80122,1.15316,0.88314,0.82094,0.86237,0.45918,1.58539,0.88137,1.07421,0.00142,0.00142,0.00142
28,2250.16,1.5314,0.78063,1.13291,0.89619,0.82849,0.88091,0.46683,1.57627,0.80452,1.06748,0.00109,0.00109,0.00109
29,2324.93,1.5201,0.76702,1.13443,0.90536,0.82291,0.87893,0.46788,1.56781,0.79878,1.06634,0.00076,0.00076,0.00076
30,2404.07,1.50743,0.75704,1.13174,0.90254,0.844,0.88613,0.47808,1.52963,0.78016,1.05378,0.00043,0.00043,0.00043
