epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8474,5.13536,8.88553,4.08229,0,0,0,0,5.61118,4.83696,3.63561,0.00394595,0.00394595,0.0842162
2,57.1453,3.62785,3.7278,2.67769,0.11236,0.20077,0.05869,0.017,3.10625,11.0377,2.03978,0.00789562,0.00789562,0.0681659
3,86.2932,2.83349,2.58394,1.79911,0.21608,0.3383,0.16527,0.05099,2.94997,26.682,2.03309,0.0117946,0.0117946,0.0520649
4,118.971,2.55334,2.31864,1.66242,0.02514,0.02159,0.00649,0.00326,3.72671,296.224,3.54103,0.015643,0.015643,0.0359132
5,146.685,2.46217,2.21179,1.56714,0.20931,0.23452,0.11308,0.03497,2.85991,24.2778,2.13287,0.0194406,0.0194406,0.0197109
6,180.454,2.31408,1.93611,1.46697,0.51712,0.4814,0.46163,0.16767,2.33417,11.8734,1.62237,0.0193667,0.0193667,0.0193667
7,215.435,2.22497,1.75846,1.43295,0.63768,0.39586,0.39958,0.15056,2.39404,3.08678,1.52862,0.01924,0.01924,0.01924
8,264.301,2.1838,1.59581,1.35202,0.63068,0.57736,0.56538,0.23582,2.06648,3.32125,1.37521,0.0191133,0.0191133,0.0191133
9,314.325,2.10381,1.51928,1.34955,0.65255,0.60331,0.62512,0.2531,2.08906,1.68063,1.33402,0.0189867,0.0189867,0.0189867
10,362.988,2.03562,1.41832,1.31794,0.65491,0.55085,0.55063,0.21098,2.07254,1.66121,1.35143,0.01886,0.01886,0.01886
11,417.005,2.05051,1.37789,1.31353,0.65178,0.55218,0.5378,0.21166,2.00572,6.52693,1.29878,0.0187333,0.0187333,0.0187333
12,463.726,1.96908,1.3368,1.28581,0.79832,0.67583,0.7357,0.31451,1.92471,1.38852,1.2808,0.0186067,0.0186067,0.0186067
13,519.392,1.96513,1.28048,1.28835,0.74197,0.64467,0.66565,0.29313,1.94398,1.66261,1.30195,0.01848,0.01848,0.01848
14,573.855,1.91501,1.256,1.27338,0.76635,0.69267,0.71679,0.30668,1.85222,1.65089,1.2411,0.0183533,0.0183533,0.0183533
15,628.904,1.91945,1.25634,1.28247,0.85472,0.71779,0.76119,0.33106,1.89017,1.2218,1.2405,0.0182267,0.0182267,0.0182267
16,691.291,1.90775,1.21432,1.28665,0.83529,0.71695,0.75778,0.34264,1.85028,1.27805,1.24858,0.0181,0.0181,0.0181
17,739.803,1.88874,1.20315,1.24834,0.8232,0.7024,0.72634,0.31434,1.97765,1.17785,1.28076,0.0179733,0.0179733,0.0179733
18,792.015,1.88703,1.16382,1.24521,0.86797,0.76695,0.81864,0.39949,1.71347,1.232,1.18635,0.0178467,0.0178467,0.0178467
19,845.406,1.86735,1.13098,1.23133,0.80036,0.68752,0.75076,0.32891,1.81217,1.19687,1.21669,0.01772,0.01772,0.01772
20,897.838,1.86794,1.1524,1.2284,0.84662,0.76433,0.8089,0.37429,1.74463,1.03888,1.18882,0.0175933,0.0175933,0.0175933
21,952.578,1.83422,1.12872,1.23267,0.84531,0.7442,0.77638,0.3501,1.79047,1.0962,1.20432,0.0174667,0.0174667,0.0174667
22,996.914,1.83738,1.11617,1.22102,0.85568,0.76134,0.80896,0.3831,1.70195,0.99699,1.16328,0.01734,0.01734,0.01734
23,1054.79,1.77914,1.06806,1.22195,0.84115,0.79576,0.8236,0.38942,1.69797,1.03046,1.16539,0.0172133,0.0172133,0.0172133
24,1114.45,1.79625,1.06833,1.19486,0.87291,0.78725,0.82372,0.38871,1.76503,0.99746,1.19083,0.0170867,0.0170867,0.0170867
25,1170.1,1.79934,1.04434,1.21233,0.86584,0.77059,0.80784,0.39392,1.72759,0.97794,1.17295,0.01696,0.01696,0.01696
26,1223.66,1.80237,1.05993,1.20681,0.90106,0.79915,0.84403,0.41929,1.61237,0.94149,1.14311,0.0168333,0.0168333,0.0168333
27,1277.75,1.77366,1.02455,1.18286,0.82916,0.75847,0.80197,0.36182,1.75203,1.06005,1.17803,0.0167067,0.0167067,0.0167067
28,1336.81,1.78919,1.00857,1.19307,0.87177,0.80061,0.8329,0.41443,1.67606,0.96526,1.16463,0.01658,0.01658,0.01658
29,1395.84,1.80188,1.04294,1.19817,0.88556,0.79974,0.84028,0.43178,1.61318,0.89469,1.14158,0.0164533,0.0164533,0.0164533
30,1454.07,1.73195,1.00472,1.16317,0.87562,0.79767,0.84176,0.42981,1.62734,0.8937,1.14186,0.0163267,0.0163267,0.0163267
31,1508.88,1.75627,0.9906,1.19269,0.87097,0.81092,0.86226,0.44088,1.62919,0.90335,1.14157,0.0162,0.0162,0.0162
32,1569.37,1.72489,0.98107,1.19163,0.88045,0.81047,0.84872,0.42484,1.72463,0.93914,1.1598,0.0160733,0.0160733,0.0160733
33,1631.52,1.73723,0.98681,1.17004,0.864,0.78391,0.82745,0.39587,1.67926,0.95487,1.15586,0.0159467,0.0159467,0.0159467
34,1686.33,1.73633,0.98123,1.18872,0.89512,0.81693,0.86712,0.448,1.61245,0.84237,1.13151,0.01582,0.01582,0.01582
35,1739.75,1.73773,0.96996,1.16905,0.87841,0.80211,0.85197,0.40747,1.70024,0.96864,1.15361,0.0156933,0.0156933,0.0156933
36,1801.92,1.71465,0.956,1.19679,0.88794,0.81903,0.85936,0.44889,1.6422,0.85612,1.13235,0.0155667,0.0155667,0.0155667
37,1851.54,1.7072,0.94074,1.17679,0.89697,0.81252,0.85911,0.45131,1.6079,0.86735,1.13352,0.01544,0.01544,0.01544
38,1901.24,1.71078,0.94768,1.16387,0.89453,0.7983,0.84298,0.41779,1.66082,0.91386,1.14119,0.0153133,0.0153133,0.0153133
39,1953.7,1.69237,0.9583,1.16516,0.90587,0.81686,0.86818,0.44764,1.60926,0.85586,1.12872,0.0151867,0.0151867,0.0151867
40,2002.67,1.68415,0.92257,1.15918,0.90145,0.82435,0.86385,0.45951,1.57658,0.83088,1.1201,0.01506,0.01506,0.01506
